Doc_Requirement_ID,Doc_Source,Requirement_Text,Code_Location,Status,Notes
REQ_MEM_001,QMeter.docx - Memory performance,Small transaction: 10 working units 10 employees 3 days,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat1_SmallTransaction.qbl:12-15,Matched,"Lines 12-15 define workingunits=10, employees=10, enddate=Today()+3"
REQ_MEM_002,QMeter.docx - Memory performance,Big transaction: 100 working units 100 employees 7 days,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat1_BigTransaction.qbl:12-15,Matched,"Lines 12-15 define workingunits=100, employees=100, enddate=Today()+7"
REQ_MEM_003,QMeter.docx - Memory performance,Memory test propagates data,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat1_SmallTransaction.qbl:26,Matched,"Line 26: Transaction::Transaction().Propagate()"
REQ_ALG_001,QMeter.docx - Optimization algorithms,POA: max duration 1 hour max iteration 750000 optimize 100 nodes,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat2_POATest.qbl:12-14,Matched,"Lines 12-14 define maxduration=1h, maxiteration=750k, n=100"
REQ_ALG_002,QMeter.docx - Optimization algorithms,MP: max duration 1 hour max node 100000 seed 1,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat2_MPTest.qbl:12-13,Partial,"MP_Test called with N=100k (nodes), but seed parameter varies (1 and 2)"
REQ_ALG_003,QMeter.docx - Optimization algorithms,CP: max duration 1 hour max node 30000 under 100 iteration,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat2_CPTest.qbl:12-13,Matched,"Lines 12-13 define maxduration=1h, maxnode=30k"
REQ_ALG_004,QMeter.docx - Optimization algorithms,POA uses random destruction and construction,QMeter/_Main/BL/Type_BenchmarkDataset/POAAlgorithm_POA_Test.qbl:33-34,Matched,"Lines 33-34: actions.NewRandomDestruction(), actions.NewRandomConstruction()"
REQ_ALG_005,QMeter.docx - Optimization algorithms,MP creates binary variables and minimizes sum,QMeter/_Main/BL/Type_BenchmarkDataset/MathematicalProgram_MP_Test.qbl:78-86,Matched,"Lines 78-86 create binary variables, line 30 minimizes sum"
REQ_ALG_006,QMeter.docx - Optimization algorithms,CP creates integer variables with constraints,QMeter/_Main/BL/Type_BenchmarkDataset/CPProblem_CP_Test.qbl:40-49,Matched,"Lines 40-49 create integer variables and equality constraint"
REQ_QUILL_001,QMeter.docx - Quill speed test,Hanoi Tower with 12 disks no propagation,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat3_Entry.qbl:12-19,Matched,"Lines 12-19: steps=12, calls SolveWithoutPropagation(steps)"
